Name,Affiliation
Javier DeFelipe,
Ruth Benavides-Piccione,
Stewart Anderson,
Andreas Burkhalter,
Bruno Cauli,
Alfonso Fairén,
Dirk Feldmeyer,
Gord Fishell,
David Fitzpatrick,
Tamás F. Freund,
13 Guillermo González-Burgos,
Shaul Hestrin,
Sean Hill,
Patrick R. Hof,
Josh Huang,
Edward G. Jones,
Yasuo Kawaguchi,
Zoltán Kisvárday,
Yoshiyuki Kubota,
David A. Lewis,
Oscar Marín,
Henry Markram,
Chris J. McBain,
Hanno S. Meyer,
Hannah Monyer,
Sacha B. Nelson,
Kathleen Rockland,
Jean Rossier,
John L. R. Rubenstein,
Bernardo Rudy,
Massimo Scanziani,
Gordon M. Shepherd,
Chet C. Sherwood,
Jochen F. Staiger,
Gábor Tamás,
Alex Thomson,
Yun Wang,
Rafael Yuste,
Giorgio A. Ascoli4,
L. Alonso-Nanclares,
C. Dávid,
H. Geoffroy,
M. Inan,
V. Garcia-Marín,
Á. Merchán-Pérez,
L. McGarry,
A. Muñoz,
C. Palazzetti,
N. Povysheva,
D. Rotaru,
R. Scott,
R. Tremblay ,
A. Zaitsev,
